_id,sessionId,customerId,merchantId,eventType,productId,productIds[0],productIds[1],productIds[2],productIds[3],cartTotal,recoveryStatus,createdAt,__v,cartItems[0].productId,cartItems[1].productId,cartItems[2].productId,cartItems[3].productId,cartItems[0].name,cartItems[1].name,cartItems[2].name,cartItems[3].name,cartItems[0].quantity,cartItems[1].quantity,cartItems[2].quantity,cartItems[3].quantity,cartItems[0].price,cartItems[1].price,cartItems[2].price,cartItems[3].price,cartItems[0]._id,cartItems[1]._id,cartItems[2]._id,cartItems[3]._id,abandonmentReason
6a79b1ce5e74060a157e6d0c,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777916b31338dbaaaf79bf,,,,,0,pending,2026-08-10T11:11:10.632Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6d16,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777916b31338dbaaaf79bf,,,,,0,pending,2026-08-10T11:11:10.668Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6d19,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a77783db31338dbaaaf7966,,,,,0,pending,2026-08-10T11:11:10.697Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6d1c,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a77783db31338dbaaaf7966,,,,,0,pending,2026-08-10T11:11:10.721Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6d1f,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,add_to_cart,6a77783db31338dbaaaf7966,,,,,25009,pending,2026-08-10T11:11:10.746Z,0,6a77783db31338dbaaaf7966,,,,Samsung Galaxy A55,,,,1,,,,25009,,,,6a79b1ce5e74060a157e6d20,,,,
6a79b1d75e74060a157e6daf,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,,wishlist_viewed,,6a71c8456066bd8f2f84817c,6a71bee46066bd8f2f847cd9,6a7789b28744a00092f0331c,,0,pending,2026-08-10T11:11:19.663Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1d75e74060a157e6db1,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,,wishlist_viewed,,6a71c8456066bd8f2f84817c,6a71bee46066bd8f2f847cd9,6a7789b28744a00092f0331c,,0,pending,2026-08-10T11:11:19.698Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1d75e74060a157e6db4,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,,wishlist_viewed,,6a71c8456066bd8f2f84817c,6a7789b28744a00092f0331c,,,0,pending,2026-08-10T11:11:19.717Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1d75e74060a157e6db7,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,cart_viewed,,,,,,25679,pending,2026-08-10T11:11:19.739Z,0,6a7789b28744a00092f0331c,6a77783db31338dbaaaf7966,,,"DANCING CACTUS ,Toy for children,toy",Samsung Galaxy A55,,,1,1,,,670,25009,,,6a79ac328d280279a63e61fb,6a79b1cb5e74060a157e6cda,,,
6a79b1d75e74060a157e6dbc,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,cart_viewed,,,,,,25679,pending,2026-08-10T11:11:19.758Z,0,6a7789b28744a00092f0331c,6a77783db31338dbaaaf7966,,,"DANCING CACTUS ,Toy for children,toy",Samsung Galaxy A55,,,1,1,,,670,25009,,,6a79ac328d280279a63e61fb,6a79b1cb5e74060a157e6cda,,,
6a79b1e25e74060a157e6e83,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777c33b31338dbaaaf7ac1,,,,,0,pending,2026-08-10T11:11:30.366Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1e25e74060a157e6e86,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777bd9b31338dbaaaf7aa2,,,,,0,pending,2026-08-10T11:11:30.389Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1e25e74060a157e6e89,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777b64b31338dbaaaf7a84,,,,,0,pending,2026-08-10T11:11:30.411Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1e25e74060a157e6e8c,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777afcb31338dbaaaf7a67,,,,,0,pending,2026-08-10T11:11:30.432Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1e25e74060a157e6e8f,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777aafb31338dbaaaf7a4b,,,,,0,pending,2026-08-10T11:11:30.452Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1e25e74060a157e6e92,session_1786293764305_agj3v9c17,6a782c19018c2b4d3ecabb2a,6a70a070faabc7ced4271957,product_viewed,6a777a2bb31338dbaaaf7a30,,,,,0,pending,2026-08-10T11:11:30.469Z,0,,,,,,,,,,,,,,,,,,,,,
